chunk_id	source	page	category	content
1	Some_Fragrance_layers_of_scented_candles.docx		Candle_Knowledge	# THE FRAGRANCE LAYERS OF SCENTED CANDLES  ## 1.Top notes (30%)  Top notes give you the first impression, helping you visualize the scent of the candle. However, this layer evaporates quickly and fades quickly, only lasting about 10 minutes after the candle is lit.  Some common top notes include citrus notes such as lemon, orange… soft floral notes such as lavender, rose, iris… or some herbal notes (Aromatic Fougère).
2	Some_Fragrance_layers_of_scented_candles.docx		Candle_Knowledge	## 2.Middle notes (Heart notes) (70%)  The middle notes are considered the soul of a candle because they are the longest-lasting, creating a distinctive scent experience when the candle is lit. This layer appears when the top notes begin to fade (approximately 10-20 minutes to 1.5 hours after the candle is lit).  Common middle notes in a candle include floral, spicy, fruity, and green notes…
3	Some_Fragrance_layers_of_scented_candles.docx		Candle_Knowledge	## 3.Base notes account for 20%  Base notes are considered the lingering highlight of the candle even after it has been extinguished. They include deep, rich, and non-volatile notes that can last up to 6 hours. However, the base notes don't have the same wide and airy sillage as the top two, so their scent is usually subtle and sometimes only noticeable upon close observation.  Some common base notes include Oriental notes such as amber, musk, patchouli… Woody notes such as sandalwood and cedarwood… and gourmand notes.
4	Candle_benefit.docx		Candle_Knowledge	# AMAZING USES OF SCENTED CANDLES  ## Decorating Your Living Space  Nowadays, scented candles are designed in many unique and eye-catching shapes and packaging to serve the purpose of decorating your living space.  Besides furniture and decor accessories, fragrance can also "decorate" your living space, expressing your personal style. Depending on the choice of scented candles, guests visiting your home will gain a better understanding of the homeowner's style, personality, or emotions.
5	Candle_benefit.docx		Candle_Knowledge	## Relax your mind, relieve stress  According to Dr. Pamela Dalton, a researcher from the Monell Center for the study of the interaction between human senses and chemicals in Philadelphia: “The part of the brain that receives and processes scents is actually very close to the parts of the brain that handle human memory and emotions.”  And according to natural skincare expert Sarah Villafranco: “The connection between scent and emotion happens in a flash, which is why aromatherapy can be a powerful tool. Aromatherapy can be used to evoke many bodily responses, helping you to be more alert, relax, and reduce stress.”
6	Candle_benefit.docx		Candle_Knowledge	Therefore, when we smell something we like, we tend to breathe deeper and easier, our blood pressure is lowered, and our heart beats at a slower, more relaxed pace – and all of this helps us feel more relaxed and healthy.  In addition, in my opinion, a quiet space under candlelight also gives us a very comfortable and warm feeling.
7	Candle_benefit.docx		Candle_Knowledge	## Stimulates concentration when working and studying  Some scents such as rosemary, mint, coffee, jasmine, lavender, lemon, etc., help improve blood circulation to the brain, stimulate the nervous system, fight fatigue, improve cognitive function and memory, helping us stay alert and focused when performing tasks.  ## Deodorizes the room  Scented candles deodorize with their main ingredients being candle wax mixed with natural essential oils, releasing a natural fragrance when burned. Therefore, scented candles can also help eliminate damp room odors, kitchen food smells, unpleasant odors in the bathroom, or cigarette smoke...
8	Safe_Usage_guidance.docx		User_Guidance	# IMPORTANT NOTES FOR SAFELY USING SCENTED CANDLES  ## 1. Placement when burning candles  Keep candles away from flammable materials such as clothes, curtains, books, paper, carpets, etc., or plastic.  When burning scented candles, place them on a flat, stable surface that can withstand heat to prevent them from tipping over.  Avoid placing candles in drafty areas to prevent the flame from burning too intensely or blowing flammable objects into the fire. However, do not burn candles in enclosed spaces or small, narrow rooms.  ## 2.Always keep the candle within your sight  Extinguish candles before leaving the room and before going to sleep.  Keep candles out of reach of children and pets. Alternatively, you can use a candle warmer to reduce the risk of fire and explosion.
9	Safe_Usage_guidance.docx		User_Guidance	## 3. Caring for Candles  Trimming the wick by about 3mm after each use will help control the flame, resulting in a brighter, cleaner, and more consistent flame, avoiding the production of black smoke containing soot.  ## 4.Use a long-handled lighter or long matches to avoid burning your hands when lighting candles.  ## These are some tips I've gathered from the internet and from my own experience. Please use candles that are both beautiful and fragrant, while still being safe!
10	Chinh_sach_mua_hang.docx		Policies	# Shipping policy  Fast and on-time delivery for 99% of orders is the goal that nenthom.com.vn's operations team is aiming for.Customers, please believe that we will achieve it in 2026!  Currently, nenthom.com.vn is a major partner with famous and reputable delivery units such as: Giao Hang Tiet Kiem, Giao Hang Nhanh, Viettel Post, AhaMove, ...  Nenthom.com.vn ships to almost every region in Vietnam. We will deliver the product to the location you request in the order.  Shipping fees are listed on the payment page, and will be priced for each order placed.  Depending on each product or promotion, nenthom.com.vn will have different free shipping programs or discount codes.  Please refer to the promotion program here or register to follow the Facebook Fanpage nenthom.com.vn
